club_id,club_actual_2026,identidad_historica_en_fuente,cambio_documentado,tratamiento_en_corpus,canticos_identidad_historica,canticos_identidad_actual,fuentes
CLU002,Alianza FC / Alianza Valledupar FC,Alianza Petrolera,DIMAYOR aprobó el cambio de sede a Valledupar el 24-01-2024; la ficha actual registra la entidad de Valledupar como fundada el 16-01-2024.,"Se integra por continuidad deportiva en CLU002, conservando Alianza Petrolera en equipo_mencionado_fuente. Los cánticos históricos y actuales se cuentan por separado.",1,0,REF020; REF071
CLU015,Internacional de Bogotá,La Equidad,El club confirmó el 10-12-2025 que la entidad antes llamada Club Deportivo La Equidad adoptó el nombre Internacional de Bogotá tras el cambio de propietarios e identidad.,"Se integra por continuidad institucional en CLU015, conservando La Equidad en equipo_mencionado_fuente. Los cánticos históricos y actuales se cuentan por separado.",15,0,REF016; REF075
